,x,y,z,region,septum,mitral_valve
640,8,107,36,heart_myocardium,0,0
641,8,107,37,heart_myocardium,0,0
642,8,107,38,heart_myocardium,0,0
643,8,108,12,heart_myocardium,0,0
644,8,108,13,heart_myocardium,0,0
645,8,108,36,heart_myocardium,0,0
646,8,108,37,heart_myocardium,0,0
647,8,109,12,heart_myocardium,0,0
648,8,109,13,heart_myocardium,0,0
649,8,109,35,heart_myocardium,0,0
650,8,109,36,heart_myocardium,0,0
651,8,109,37,heart_myocardium,0,0
652,8,110,12,heart_myocardium,0,0
653,8,110,13,heart_myocardium,0,0
654,8,110,35,heart_myocardium,0,0
655,8,110,36,heart_myocardium,0,0
656,8,111,12,heart_myocardium,0,0
657,8,111,13,heart_myocardium,0,0
658,8,111,34,heart_myocardium,0,0
659,8,111,35,heart_myocardium,0,0
660,8,111,36,heart_myocardium,0,0
661,8,112,12,heart_myocardium,0,0
662,8,112,13,heart_myocardium,0,0
663,8,112,34,heart_myocardium,0,0
664,8,112,35,heart_myocardium,0,0
665,8,113,13,heart_myocardium,0,0
666,8,113,33,heart_myocardium,0,0
667,8,113,34,heart_myocardium,0,0
668,8,114,13,heart_myocardium,0,0
669,8,114,14,heart_myocardium,0,0
670,8,114,32,heart_myocardium,0,0
671,8,114,33,heart_myocardium,0,0
672,8,114,34,heart_myocardium,0,0
673,8,115,13,heart_myocardium,0,0
674,8,115,14,heart_myocardium,0,0
675,8,115,32,heart_myocardium,0,0
676,8,115,33,heart_myocardium,0,0
677,8,116,14,heart_myocardium,0,0
678,8,116,15,heart_myocardium,0,0
679,8,116,31,heart_myocardium,0,0
680,8,116,32,heart_myocardium,0,0
681,8,117,15,heart_myocardium,0,0
682,8,117,16,heart_myocardium,0,0
683,8,117,30,heart_myocardium,0,0
684,8,117,31,heart_myocardium,0,0
685,8,118,15,heart_myocardium,0,0
686,8,118,16,heart_myocardium,0,0
687,8,118,17,heart_myocardium,0,0
688,8,118,18,heart_myocardium,0,0
689,8,118,29,heart_myocardium,0,0
690,8,118,30,heart_myocardium,0,0
691,8,119,17,heart_myocardium,0,0
692,8,119,18,heart_myocardium,0,0
